GEO,Ambulance,Others,Unknown,Police Self-transfer
"Albuquerque, NM",6,1,3,
"Atlanta, GA",4,,,9
"Baltimore, MD",10,,2,5
"Birmingham, AL",3,,1,9
"Chicago, IL",12,1,5,30
"Columbus, OH",8,,2,3
"Dallas, TX",4,,4,2
"Denver, CO",5,,2,3
"Detroit, MI",3,,2,6
"Houston, TX",22,5,12,1
"Indianapolis, IN",4,,2,4
"Kansas City, MO",6,,2,6
"Las Vegas, NV",4,1,4,6
"Los Angeles, CA",9,1,1,6
"Louisville, KY",6,,1,5
"Memphis, TN",9,,3,3
"Milwaukee, WI",9,,5,2
"NYC, NY",14,,4,25
"New Orleans, LA",10,,,2
"Philadelphia, PA",1,,4,27
"Phoenix, AZ",17,,6,5
"Saint Louis, MO",1,1,10,10
"San Antonio, TX",3,,1,5
"Washington, DC",4,3,5,2
